| objective_b9b59_00487 | TERMINATED | 10.203.25.110:558722 |   3 |   0 |   4 |      1 |          15.4327 |   4905.86 |
| objective_b9b59_00488 | TERMINATED | 10.203.25.110:558710 |   4 |   0 |   4 |      1 |          15.2409 |   6370.1  |
| objective_b9b59_00489 | TERMINATED | 10.203.25.110:558729 |   5 |   0 |   4 |      1 |          15.6685 |   4873.35 |
| objective_b9b59_00490 | TERMINATED | 10.203.25.110:558728 |   6 |   0 |   4 |      1 |          16.2927 |   4934.93 |
| objective_b9b59_00491 | TERMINATED | 10.203.25.110:558718 |   7 |   0 |   4 |      1 |          17.1208 |   5045.46 |
| objective_b9b59_00492 | TERMINATED | 10.203.25.110:558704 |   8 |   0 |   4 |      1 |          15.631  |   5111.31 |
| objective_b9b59_00493 | TERMINATED | 10.203.25.110:558712 |   9 |   0 |   4 |      1 |          16.3296 |   5254.96 |
| objective_b9b59_00494 | TERMINATED | 10.203.25.110:558724 |  10 |   0 |   4 |      1 |          15.4615 |   5361.5  |
| objective_b9b59_00495 | TERMINATED | 10.203.25.110:558708 |   0 |   1 |   4 |      1 |          15.6145 |   5168.19 |
| objective_b9b59_00496 | TERMINATED | 10.203.25.110:558565 |   1 |   1 |   4 |      1 |          14.9206 |   3473.23 |
| objective_b9b59_00497 | TERMINATED | 10.203.25.110:558706 |   2 |   1 |   4 |      1 |          15.506  |   6887.4  |
| objective_b9b59_00498 | TERMINATED | 10.203.25.110:558716 |   3 |   1 |   4 |      1 |          15.1036 |   7333.84 |
| objective_b9b59_00499 | TERMINATED | 10.203.25.110:558725 |   4 |   1 |   4 |      1 |          15.4432 |   8914.19 |
| objective_b9b59_00500 | TERMINATED | 10.203.25.110:558722 |   5 |   1 |   4 |      1 |          15.3424 |   6799.21 |
| objective_b9b59_00501 | TERMINATED | 10.203.25.110:558710 |   6 |   1 |   4 |      1 |          15.1501 |   6898.97 |
| objective_b9b59_00502 | TERMINATED | 10.203.25.110:558702 |   7 |   1 |   4 |      1 |          15.5892 |   7645.88 |
| objective_b9b59_00503 | TERMINATED | 10.203.25.110:558714 |   8 |   1 |   4 |      1 |          15.9808 |   7551.06 |
| objective_b9b59_00504 | TERMINATED | 10.203.25.110:558720 |   9 |   1 |   4 |      1 |          15.1748 |   6462.23 |
| objective_b9b59_00505 | TERMINATED | 10.203.25.110:558729 |  10 |   1 |   4 |      1 |          15.5607 |   6181.38 |
| objective_b9b59_00506 | TERMINATED | 10.203.25.110:558728 |   0 |   2 |   4 |      1 |          15.2578 |   8874.93 |
| objective_b9b59_00507 | TERMINATED | 10.203.25.110:558704 |   1 |   2 |   4 |      1 |          16.895  |   4735.8  |
| objective_b9b59_00508 | TERMINATED | 10.203.25.110:558712 |   2 |   2 |   4 |      1 |          15.3923 |  11674.5  |
| objective_b9b59_00509 | TERMINATED | 10.203.25.110:558718 |   3 |   2 |   4 |      1 |          15.1904 |  17153.4  |
| objective_b9b59_00510 | TERMINATED | 10.203.25.110:558724 |   4 |   2 |   4 |      1 |          15.8875 |  14729    |
| objective_b9b59_00511 | TERMINATED | 10.203.25.110:558708 |   5 |   2 |   4 |      1 |          15.3236 |  12829.9  |
| objective_b9b59_00512 | TERMINATED | 10.203.25.110:558565 |   6 |   2 |   4 |      1 |          15.7278 |  10396.3  |
| objective_b9b59_00513 | TERMINATED | 10.203.25.110:558706 |   7 |   2 |   4 |      1 |          15.3055 |   9951.39 |
| objective_b9b59_00514 | TERMINATED | 10.203.25.110:558716 |   8 |   2 |   4 |      1 |          15.5878 |   9465.15 |
| objective_b9b59_00515 | TERMINATED | 10.203.25.110:558725 |   9 |   2 |   4 |      1 |          16.4227 |   9465.49 |
| objective_b9b59_00516 | TERMINATED | 10.203.25.110:558710 |  10 |   2 |   4 |      1 |          15.2394 |   8291.3  |
| objective_b9b59_00517 | TERMINATED | 10.203.25.110:558722 |   0 |   3 |   4 |      1 |          15.3623 |  10556.8  |
| objective_b9b59_00518 | TERMINATED | 10.203.25.110:558720 |   1 |   3 |   4 |      1 |          15.0003 |   6727.12 |
| objective_b9b59_00519 | TERMINATED | 10.203.25.110:558702 |   2 |   3 |   4 |      1 |          15.4268 |  11052.1  |
| objective_b9b59_00520 | TERMINATED | 10.203.25.110:558714 |   3 |   3 |   4 |      1 |          15.7057 |  18048.5  |
| objective_b9b59_00521 | TERMINATED | 10.203.25.110:558729 |   4 |   3 |   4 |      1 |          15.057  |  28484.8  |
| objective_b9b59_00522 | TERMINATED | 10.203.25.110:558728 |   5 |   3 |   4 |      1 |          15.8527 |  23635    |
| objective_b9b59_00523 | TERMINATED | 10.203.25.110:558718 |   6 |   3 |   4 |      1 |          15.2192 |  21656.9  |
| objective_b9b59_00524 | TERMINATED | 10.203.25.110:558712 |   7 |   3 |   4 |      1 |          15.5146 |  17130.6  |
| objective_b9b59_00525 | TERMINATED | 10.203.25.110:558704 |   8 |   3 |   4 |      1 |          15.1846 |  14421.8  |
| objective_b9b59_00526 | TERMINATED | 10.203.25.110:558724 |   9 |   3 |   4 |      1 |          15.8066 |  12020.8  |
| objective_b9b59_00527 | TERMINATED | 10.203.25.110:558708 |  10 |   3 |   4 |      1 |          15.0126 |  12236    |
| objective_b9b59_00528 | TERMINATED | 10.203.25.110:558565 |   0 |   4 |   4 |      1 |          15.9146 | 263287    |
| objective_b9b59_00529 | TERMINATED | 10.203.25.110:558706 |   1 |   4 |   4 |      1 |          16.2633 |  13659.9  |
| objective_b9b59_00530 | TERMINATED | 10.203.25.110:558716 |   2 |   4 |   4 |      1 |          15.7765 |  26566    |
